<SUBJECT>,<ARCHDATE>,<YEAR>,<EMAIL>,<AGENCY>,<OFFADD>,<POPCOUNTRY>,<POPZIP>,label,<CLASSCOD>,<NAICS>,iname,<SOLNBR>,<URL>,<OFFICE>,<LOCATION>,<ZIP>,<RESPDATE>,<DESC>,<NTYPE>,<DATE>,<CONTACT>,<SETASIDE>
56--Wapanocca NWR AR Roadway Surfacing ,09152017,17,,Department of the Interior,"FWS, DIVISION OF CONTRACTING AND GR1875 CENTURY BOULEVARDSUITE 310ATLANTAGA30345-3310US",USA,72384,<MOD>,56,212319,0bb801d4-8a77-11e7-89d0-1cc1de329608,F17PS01346,https://www.fbo.gov/spg/DOI/FWS/CGSWO/F17PS01346/listing.html,Fish and Wildlife Service,CGS-WO,30345,083117,Link To Document,PRESOL,0822,"Jordan, Gerome",Total Small Business
Security Professional Education Development (SPēD) Certification Program,,17,,Other Defense Agencies,Russell-Knox Buildingr27130 Telegraph Rd. Quantico VA 22134,US,,<MOD>,R,611710,0bb801bf-8a77-11e7-89d0-1cc1de329608,HS0021-17-R-0004,https://www.fbo.gov/notices/fbb5159724764267db18a63e1cdfb8dd,Defense Security Service,Headquarters,22134,,Link To Document,PRESOL,0822,"Twana E. Harper, Contract Specialist, Phone 4106891328, Email twana.e.harper.civ@mail.mil",N/A
Portage Lake Revetment Repair,,17,,Department of the Army,477 Michigan Avenue Detroit MI 48226,US,49675,<MOD>,Z,237990,0bb8024c-8a77-11e7-89d0-1cc1de329608,W911XK17B0006,https://www.fbo.gov/spg/USA/COE/DACA35/W911XK17B0006/listing.html,U.S. Army Corps of Engineers,"USACE District, Detroit",48226,090617,Link To Document,PRESOL,0822,"Bruce M. Walrad, Phone 3132262134, Email bruce.m.walrad@usace.army.mil - Robert Austin, Mr, Email robert.w.austin@usace.army.mil",Total Small Business
Recruiting Free-Standing E Posters,,17,,Department of the Army,47 Bataan Road Santa Fe NM 87505-4695,US,87123,<MOD>,99,339950,0bb801ef-8a77-11e7-89d0-1cc1de329608,W912J3-17-T-0031,https://www.fbo.gov/spg/USA/NGB/DAHA29/W912J3-17-T-0031/listing.html,National Guard Bureau,USPFO for New Mexico,87505-4695,082817,Link To Document,PRESOL,0822,"Nickles F. Bonner, Phone 5054741856, Email nickles.f.bonner.mil@mail.mil",Woman Owned Small Business
"CONSTRUCTION: Hangar 08  09 Mechanical Upgrades at the Mike Monroney Aeronautical Center, Oklahoma City, OK",08242017,17,stephanie.riddle@faa.gov,Department of Transportation," FEDERAL AVIATION ADMINISTRATION, AAQ-811 AC - Mike Monroney Aeronautical Center (Oklahoma City, OK) ",,,<MOD>,Z,236220,0bb801cb-8a77-11e7-89d0-1cc1de329608,DTFAAC-17-R-00023,https://www.fbo.gov/spg/DOT/FAA/MMACTR/DTFAAC-17-R-00023/listing.html,Federal Aviation Administration (FAA),Mike Monroney Aeronautical CTR,20591,082417,Click here to email Stephanie Riddle,SRCSGT,0822,"Stephanie Riddle, stephanie.riddle@faa.gov, Phone: 405-954-7805Click here to email Stephanie Riddle",
ALR-67(V)3  ALE-50B Software Development Support,08172018,17,,Department of the Navy,"429 E. Bowen Rd. Stop 4015 - CLr575 I Ave, Bldg 36, Ste 1116 - PM China Lake/Pt Mugu CA 93555-6108",US,,<MOD>,K,541330,0bb80222-8a77-11e7-89d0-1cc1de329608,N6893617R0019,https://www.fbo.gov/notices/c831453164a8db2a58f3c469eb7eed0c,Naval Air Systems Command,Naval Air Warfare Center Weapons Division,93555-6108,110617,Link To Document,PRESOL,0822,"Ali Tsybulevsky, Contract Specialist, Phone 760-939-4982, Email alexandra.tsybulevsk@navy.mil - Helen N. Xiong, Procuring Contracting Officer , Phone 805-989-4536, Email helen.xiong@navy.mil",N/A
90-Minute Ground Transportation for Strategic National Stockpile Deployment,,17,,Department of Health and Human Services,"2920 Brandywine Road, Room 3000 Atlanta GA 30341-4146",,,<MOD>,V,488999,0bb801b8-8a77-11e7-89d0-1cc1de329608,2017-N-66643,https://www.fbo.gov/spg/HHS/CDCP/PGOA/2017-N-66643/listing.html,Centers for Disease Control and Prevention,Procurement and Grants Office (Atlanta),30341-4146,090617,Link To Document,PRESOL,0822,"Lauren Peel, Phone 7704882649, Email ijt9@cdc.gov",
"Re-Roof buildings 1, 2, 3, 4  5",,17,,Department of Agriculture,,US,83341,<MOD>,Z,236220,0bb80184-8a77-11e7-89d0-1cc1de329608,AG-0208-PS-17-ROOF,https://www.fbo.gov/notices/a7713002129b6680d4a80a0c98450d6a,Agricultural Research Service,Pacific West Area,N/A,092217,Link To Document,PRESOL,0822,"Robert Risch, Contract Specialist, Phone (541) 738-4006, Fax (541) 738-4005, Email rob.risch@ars.usda.gov",Total Small Business
Firefighting Self-Contained Breathing Apparatus,,17,,Department of the Navy,PO Box 8368 MCB Camp Lejeune NC 28547-8368,US,28533,<MOD>,42,339113,0bb80261-8a77-11e7-89d0-1cc1de329608,M6700117Q0059,https://www.fbo.gov/spg/DON/USMC/M67001/M6700117Q0059/listing.html,United States Marine Corps,MCB Camp Lejeune - RCO,28547-8368,092117,Link To Document,PRESOL,0822,"Chris Rabassi, Contract Specialist, Phone 9104511591, Email chris.rabassi@usmc.mil - Laurie Lenser, Contracting Officer, Phone 910-451-1467, Fax 910-451-2331, Email Laurie.lenser@usmc.mil",Total Small Business
Z--CONSTITUTION MUSEUM CHILLER REPLACEMENT,09092017,17,,Department of the Interior,"NPS, NER SERVICES MABOBoston National Historical ParkCharlestown Navy YardBostonMA02129-4543US",,,<MOD>,Z,238220,0bb80207-8a77-11e7-89d0-1cc1de329608,P17PS01106,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS01106/listing.html,National Park Service,NPS - All Offices,02129,082517,Link To Document,PRESOL,0822,"Solarek, Michele",
Lease of Office Space within Region 07. RLP #17-REG07 - OFFICE SPACE,,17,,General Services Administration,819 Taylor Street Fort Worth TX 76102,,,<MOD>,X,531120,0bb80243-8a77-11e7-89d0-1cc1de329608,17-REG07_5LA0378,https://www.fbo.gov/spg/GSA/PBS/7P/17-REG07_5LA0378/listing.html,Public Buildings Service (PBS),R7 Realty Services (7P),76102,090717,Link To Document,SRCSGT,0822,"Dusty Griffith, AAAP Manager, Phone 817-680-0641, Email dusty.griffith@gsa.gov",
D--Scientific Review (SR) and Scientific Portfolio Analysis (SPA) Services ,,17,,Department of Health and Human Services,"National Institutes of HealthNational Heart, Lung, and BloodInstitutesBethesdaMD20892-7511",,,<MOD>,D,541511,0bb801f6-8a77-11e7-89d0-1cc1de329608,HHSN26817HO00002R,https://www.fbo.gov/spg/HHS/NIH/NHLBI/HHSN26817HO00002R/listing.html,National Institutes of Health,"National Heart, Lung and Blood Institute, Rockledge Dr. Bethesda, MD",20892,,Link To Document,PRESOL,0207,"Bocus, Chris D.",
Install LED Light At George Ave.  Jefferson Ave.,,17,,Department of the Army,"43200 MAPLE STREET, BLDG 105 SELFRIDGE ANG BASE MI 48045-5213",US,48045,<MOD>,Z,238210,0bb801ea-8a77-11e7-89d0-1cc1de329608,W912JB-17-B-4004,https://www.fbo.gov/spg/USA/NGB/DAHA20-2/W912JB-17-B-4004/listing.html,National Guard Bureau,"127 MSG/MSC,  MI ANG",48045-5213,082517,Link To Document,PRESOL,0822,"David A. Brown, Contract Specialist, Phone 5862395867, Email david.a.brown202.civ@mail.mil - Steven Stocking, Contracting Officer, Phone 5863074881, Fax N/A, Email steven.A.stocking3.mil@mail.mil",Total Small Business
"Defect Measurement Borescopes (4mm), P/N XLGOB392M-N",,17,,Department of the Navy,Contracts DepartmentHwy. 547    Attn:B562-3C Lakehurst NJ 08733-5083,,,<MOD>,66,333314,0bb8021a-8a77-11e7-89d0-1cc1de329608,N68335-17-R-0208,https://www.fbo.gov/spg/DON/NAVAIR/N68335/N68335-17-R-0208/listing.html,Naval Air Systems Command,Naval Air Warfare Center Aircraft Division Lakehurst,08733-5083,090517,Link To Document,PRESOL,0822,"Richard J. Murphy, Contract Specialist, Phone 7323232749, Email richard.j.murphy3@navy.mil",
"Replacement of Vehicle Maintenance Facilities (VMF) Complex, PN# QMSN099104, 129th Rescue Wing, Moffett, CA. ",,17,,Department of the Army,PO Box 8104 San Luis Obispo CA 93403-8104,US,94035,<MOD>,Y,236220,0bb801ee-8a77-11e7-89d0-1cc1de329608,W912LA-17-B-0001,https://www.fbo.gov/spg/USA/NGB/DAHA04/W912LA-17-B-0001/listing.html,National Guard Bureau,USPFO for California,93403-8104,090517,Link To Document,PRESOL,0822,"Amber Milton, Contracting Specialist, Phone 8052388606, Email amber.c.milton.mil@mail.mil",Total Small Business
"Z--UPGRADE HVAC SYSTEM AT BUTTRICK COTTAGE, MINUTE MA",09132017,17,,Department of the Interior,"NPS, NER SERVICES MABOBoston National Historical ParkCharlestown Navy YardBuilding I-1BostonMA02129-4543US",,,<MOD>,Z,238220,0bb80206-8a77-11e7-89d0-1cc1de329608,P17PS02001,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS02001/listing.html,National Park Service,NPS - All Offices,02129,082917,Link To Document,PRESOL,0822,"Solarek, Michele",
66--New air sampling flow-controllers and canisters,09132017,17,,Environmental Protection Agency,Region 7US Environmental Protection Agency11201 Renner Blvd.LenexaKS66219USA,,,<MOD>,66,423490,0bb8022a-8a77-11e7-89d0-1cc1de329608,RFQ-KS-17-00022,https://www.fbo.gov/spg/EPA/OAM/RegVII/RFQ-KS-17-00022/listing.html,Office of Acquisition Management (OAM),Region VII,66219,082917,Link To Document,PRESOL,0822,"Hoobler, Vernon",
Translation Services for Login.gov,,17,,General Services Administration,301 7th St SW Rm 6109 Washington DC 20407,US,20006,<MOD>,R,541930,0bb801c7-8a77-11e7-89d0-1cc1de329608,TTS-Translate,https://www.fbo.gov/notices/2464105ca0917be56ea28d97cfe29227,Federal Acquisition Service (FAS),Assisted Acquisitions Services (WQA),20407,082817,Link To Document,SRCSGT,0822,"Al Munoz, Contracting Officer, Phone 2027344226, Email alberto.munoz@gsa.gov",N/A
UAV Maintenance Groups 1-4,,17,,Department of the Navy,Building 441r21983 Bundy Road Unit 7 Patuxent River MD 20670,US,20684,<MOD>,J,488190,0bb8021f-8a77-11e7-89d0-1cc1de329608,N00421-17-R-0065,https://www.fbo.gov/spg/DON/NAVAIR/N00421/N00421-17-R-0065/listing.html,Naval Air Systems Command,Naval Air Warfare Center Aircraft Division Pax River,20670,083117,Link To Document,SRCSGT,0822,"Kate McKeown, Contract Specialist, Phone 3019952683, Email kate.mckeown@navy.mil - Angela R Brooks, Contract Specialist, Phone (301) 757-9708, Fax 301-757-8988, Email angela.brooks@navy.mil",N/A
Truman Lake Power Plant Install PLC Stub Shaft Controls,09062017,17,,Department of the Army,Attn:  CENWK-CTr635 Federal Building 60l East 12th Street Kansas City MO 64106-2896,US,65355,<MOD>,Z,238210,0bb8024f-8a77-11e7-89d0-1cc1de329608,W912DQ-17-B-1016SS,https://www.fbo.gov/spg/USA/COE/DACA41/W912DQ-17-B-1016SS/listing.html,U.S. Army Corps of Engineers,"USACE District, Kansas City",64106-2896,082317,Link To Document,SRCSGT,0822,"Andrew Minnix, Phone 8163892218, Email andrew.m.minnix@usace.army.mil - David M Best, Contracting Officer, Phone 816 389 3404, Fax 816 389 2029, Email david.m.best@usace.army.mil",Total Small Business
IT Help Desk Support Services,,17,,Department of the Army,"ATTN:  ATZC-DOCrBldg 201, Club Road Fort Bliss TX 79916-6812",US,79916,<MOD>,D,541519,0bb801a5-8a77-11e7-89d0-1cc1de329608,W911SG-17-T-0008,https://www.fbo.gov/notices/741a69427966b1bacfcad93122cb599a,"Army Contracting Command, MICC",MICC - Fort Bliss,79916-6812,082317,Link To Document,SRCSGT,0822,"Olga Berge, Purchasing Agent, Phone 915-568-6193, Email olga.berge.civ@mail.mil - Marquiesha Gillispie, Contracting Officer, Phone 580-442-4315, Email marquiesha.r.gillispie.civ@mail.mil",Competitive 8(a)
A--Naval Air Warfare Center Training Systems Division (NAWCTSD) Working Group Meetings,08242017,17,,Department of the Navy,"N61340 Naval Air Warfare Center Training Systems Division 12211 Science Drive, Orlando, FL",,,<MOD>,A,541990,0bb80220-8a77-11e7-89d0-1cc1de329608,N6134017Q0018,https://www.fbo.gov/spg/DON/NAVAIR/N61339/N6134017Q0018/listing.html,Naval Air Systems Command,Naval Air Warfare Center Training Systems Division,32826,,Link To Document,SNOTE,0822,Diana Teel (407) 380-4903 Orlo_BusinessSupportTeam@navy.mil,
Nez Perce-Clearwater NF_Comstock Vegetation Survey,,17,,Department of Agriculture,3815 Schreiber Way Coeur dAlene ID 83815-8363,US,,<MOD>,A,541720,0bb801de-8a77-11e7-89d0-1cc1de329608,AG-02RC-S-17-0102,https://www.fbo.gov/spg/USDA/FS/281/AG-02RC-S-17-0102/listing.html,Forest Service,R-1 IMAT: Clearwater; Idaho Panhandle; Kootenai; and Nez Perce NFs,83815-8363,090117,Link To Document,PRESOL,0822,"Darren M. Zychek, Contract Specialist, Phone 2084768224, Fax 2084768288, Email dzychek@fs.fed.us",Total Small Business
Information Technology Systems Support Services,,17,,Department of State,"Office of Acquisitions, FSI/EX/ACQr4000 Arlington BoulevardrSA-42 Room F2130 Arlington VA 22204",US,20004,<MOD>,R,541513,0bb801dc-8a77-11e7-89d0-1cc1de329608,SFSIAQ17I1005,https://www.fbo.gov/spg/State/FSI/GSACQ/SFSIAQ17I1005/listing.html,Foreign Service Institute,"U.S. Department of State, Foreign Service Institute",22204,082217,Link To Document,SRCSGT,0822,"Erin E Williams, Email williamsee3@state.gov",Total Small Business
Pre-solicitation Notice-Vehicle Storage Building located at Camp Rilea,,17,,Department of the Army,Attn:  USPFO-PPO Box 14840 Salem OR 97309-5008,US,,<MOD>,Y,236220,0bb801f1-8a77-11e7-89d0-1cc1de329608,W912JV-17-B-4007,https://www.fbo.gov/spg/USA/NGB/DAHA35/W912JV-17-B-4007/listing.html,National Guard Bureau,USPFO for Oregon,97309-5008,082917,Link To Document,PRESOL,0822,"Nicollette Kennemer, Phone 5035843764, Email nicollette.a.kennemer.mil@mail.mil",Total Small Business
58--Purchase Elk Collars for Wind Cave National Park,09142017,17,,Department of the Interior,"NPS, MWR - NEKOTA MABO24290 Doane Mountain RoadKeystoneSD57751-4401US",,,<MOD>,58,334220,0bb801fe-8a77-11e7-89d0-1cc1de329608,P17PS02659,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS02659/listing.html,National Park Service,NPS - All Offices,57751,083017,Link To Document,PRESOL,0822,"Peck, Brian",
59--Ault KU1A Autotransformer,09132017,17,,Department of Energy,WAPA (RMR)US DOE/WESTERN AREA POWERROCKY MOUNTAIN REGIONAL OFFICE5555 E. CROSSROADS BLVDLOVELANDCO80539-8986US,,,<MOD>,59,335311,0bb801d1-8a77-11e7-89d0-1cc1de329608,DE-SOL-0011343,https://www.fbo.gov/spg/DOE/PAM/HQ/DE-SOL-0011343/listing.html,Federal Locations,All DOE Federal Contracting Offices,80539,082917,Link To Document,PRESOL,0822,"Siltman, Benjamin R.",
Search Trainer ,,17,,Department of the Air Force,210 Scherz BlvdBldg 707 Goodfellow AFB TX 76908-4705,US,76908-4705,<MOD>,69,332311,0bb80187-8a77-11e7-89d0-1cc1de329608,FA303017R0013,https://www.fbo.gov/spg/USAF/AETC/GAFBCS/FA303017R0013/listing.html,Air Education and Training Command,"Goodfellow AFB, Contracting Squadron",76908-4705,,Link To Document,PRESOL,0822,"Joshua D. Crist , Phone 3256546104, Email joshua.crist.1@us.af.mil - Andrew Andrew, Contracting Officer, Phone 3256543818, Email andrew.grocott@us.af.mil",Total Small Business
D--Scientific Review (SR) and Scientific Portfolio Analysis (SPA),06062017,17,,Department of Health and Human Services,"National Institutes of HealthNational Heart, Lung, and BloodInstitutesBethesdaMD20892-7511",,,<MOD>,D,541511,0bb801f7-8a77-11e7-89d0-1cc1de329608,HHSN26817HO00002R,https://www.fbo.gov/spg/HHS/NIH/NHLBI/HHSN26817HO00002R/listing.html,National Institutes of Health,"National Heart, Lung and Blood Institute, Rockledge Dr. Bethesda, MD",20892,052217,Link To Document,PRESOL,0420,"Bocus, Chris D.",
D--Scientific Review (SR) and Scientific Portfolio Analysis (SPA),,17,,Department of Health and Human Services,"National Institutes of HealthNational Heart, Lung, and BloodInstitutesBethesdaMD20892-7511",,,<MOD>,D,541511,0bb801f8-8a77-11e7-89d0-1cc1de329608,HHSN26817HO00002R,https://www.fbo.gov/spg/HHS/NIH/NHLBI/HHSN26817HO00002R/listing.html,National Institutes of Health,"National Heart, Lung and Blood Institute, Rockledge Dr. Bethesda, MD",20892,052217,Link To Document,PRESOL,0502,"Bocus, Chris D.",
Ellsworth AFB Headsets,,17,,Department of the Air Force,"1000 Ellsworth Street, Suite 1200r Ellsworth AFB SD 57706-4904",US,57706,<MOD>,59,334220,0bb80188-8a77-11e7-89d0-1cc1de329608,EllsworthAFB-Headsets,https://www.fbo.gov/notices/2d8af75a15751590f62a23bf9684f2e0,Air Force Global Strike Command,28 CONS,57706-4904,082217,Link To Document,SRCSGT,0822,"Taylor L. Nelson, Phone 6053854317, Email taylor.nelson.1@us.af.mil - Jacquelyn O. Stringfield , Phone 6053851723, Email jacquelyn.stringfield.2@us.af.mil",N/A
Open Innovation and Collaboration,,17,,Department of the Air Force,"AFRL/RQKr2130 Eighth Street, Building 45 Wright-Patterson AFB OH 45433",,,<MOD>,A,541712,0bb8018d-8a77-11e7-89d0-1cc1de329608,BAA-RQKD-2014-0001,https://www.fbo.gov/spg/USAF/AFMC/AFRLWRS/BAA-RQKD-2014-0001/listing.html,Air Force Materiel Command,AFRL/RQK - WPAFB,45433,071219,Link To Document,PRESOL,0822,"Colleen Albertson, Contracting Officer, Phone (937) 713-9818, Email colleen.albertson@us.af.mil - Shayla Wray, Chief, Adv Research Contrg Branch, Phone (937) 713-9984, Email shayla.wray@us.af.mil",
"Joint Service Lightweight Integrated Suit Technology (JSLIST) Overgarment, Coat and Trousers, Chemical Protective",,17,,Defense Logistics Agency,700 Robbins Avenue Philadelphia PA 19111-5096,,,<MOD>,84,315210,0bb801c3-8a77-11e7-89d0-1cc1de329608,SPM1C113R0018,https://www.fbo.gov/spg/DLA/J3/DSCP-C/SPM1C113R0018/listing.html,DLA Acquisition Locations,DLA Troop Support - Clothing  Textiles,19111-5096,,Link To Document,SNOTE,0822,"John E. Green, Acquisition Specialist, Phone 215-737-3169, Email John.e2.Green@dla.mil - Pat Martin, Contracting Officer, Phone 215-737-7838, Email patricia.a.martin@dla.mil",
G--Pre-Solicitation (CANC)  -   Time-limited transitional housing for Vets participating  (TBI) Prog.  Mtz OPC  Cancelled - Please refer to VA261-17-Q-0978 ,10212017,17,Scott.Wolfe@va.gov,Department of Veterans Affairs,"Department of Veterans Affairs;Network Contracting Office 21;VA Southern Nevada Healthcare System;6900 N. Pecos Road, Building 6;North Las Vegas NV  89086",,,<MOD>,G,624229,0bb80265-8a77-11e7-89d0-1cc1de329608,VA26117Q1017,https://www.fbo.gov/notices/26c3feffa2591b3b9932a002e22af326,VA Southern Nevada Healthcare System,Southern Nevada VAHCS - Las Vegas,89086,,Scott.Wolfe@va.gov,PRESOL,0822,Scott WolfeContract Specialist702-791-9000    14683Scott.Wolfe@va.gov,
Water Sampling,,17,,Department of the Army,34 South Gate Road Suite 1104 Fort Buchanan PR 00934-4206,US,00934-4572,<MOD>,B,541380,0bb801a6-8a77-11e7-89d0-1cc1de329608,W912C3-17-R-0007,https://www.fbo.gov/notices/cdb21e1d3f790ab3234cb977d08894ba,"Army Contracting Command, MICC",MICC - Fort Buchanan (W912C3),00934-4206,091217,Link To Document,PRESOL,0822,"Carla Rosario, Contract Specialist, Phone 7877074528, Email carla.m.rosario-rivera.civ@mail.mil - Maria Otero, Contracting Officer, Phone 7877073985, Email maria.d.otero4.civ@mail.mil",Total Small Business
UAS Aircrew Services,,17,,Department of the Navy,Building 441r21983 Bundy Road Unit 7 Patuxent River MD 20670,US,20684,<MOD>,J,488190,0bb8021e-8a77-11e7-89d0-1cc1de329608,N0042117R0047,https://www.fbo.gov/spg/DON/NAVAIR/N00421/N0042117R0047/listing.html,Naval Air Systems Command,Naval Air Warfare Center Aircraft Division Pax River,20670,091117,Link To Document,SRCSGT,0822,"Angela R Brooks, Contract Specialist, Phone (301) 757-9708, Fax 301-757-8988, Email angela.brooks@navy.mil - Benjamin Washburn, Contracting Officer, Phone 301-757-9712, Fax 301-757-8959, Email benjamin.washburn@navy.mil",N/A
"Removal of four (4) 60 guyed towers, installation of three (3) 60 towers and extend site fence at Hope Hull, AL.",09082017,17,sheila.ctr.horton@faa.gov,Department of Transportation," FEDERAL AVIATION ADMINISTRATION, AAQ-722 AC - Mike Monroney Aeronautical Center (Oklahoma City, OK) ",,,<MOD>,Z,237130,0bb801cc-8a77-11e7-89d0-1cc1de329608,27914,https://www.fbo.gov/spg/DOT/FAA/MMACTR/27914/listing.html,Federal Aviation Administration (FAA),Mike Monroney Aeronautical CTR,20591,090817,Click here to email Sheila Horton,SRCSGT,0822,"Sheila Horton, sheila.ctr.horton@faa.gov, Phone: 405-954-5069Click here to email Sheila Horton",
Paint Building 718,09302017,17,,Department of the Air Force,165 Missile Avenue Minot AFB ND 58705-5027,US,58705,<MOD>,Z,238320,0bb80189-8a77-11e7-89d0-1cc1de329608,FA4528-17-R-0029,https://www.fbo.gov/notices/34e77ceb2f6131873b11ddbf7e715421,Air Force Global Strike Command,5 CONS,58705-5027,,Link To Document,PRESOL,0822,"Christian A. Barnett, Phone 7017233556, Email christian.barnett.1@us.af.mil - Dakota C. Powell, SrA, Phone 7017233556, Email Dakota.Powell@us.af.mil",Total Small Business
Road Supplies for Forest Service Northern California,,17,,Department of Agriculture,"3644  Avtech Parkway, Suite 180 Redding CA 96002",US,,<MOD>,56,212311,0bb801e1-8a77-11e7-89d0-1cc1de329608,AG-9AC7-S-17-0125,https://www.fbo.gov/notices/8b7a304ca381c98a1f2bce8587e214e4,Forest Service,R-5 Northern CA Acquisition Service Area,96002,082517,Link To Document,PRESOL,0822,"Sandra N. Vincent, Contracting Officer, Phone 5302262408, Email svincent02@fs.fed.us",Total Small Business
HEPA Bag-In Filters,,17,,Department of the Air Force,1201 Edward H White II St MS 7200 Patrick AFB FL 32925-3238,US,32925,<MOD>,66,333413,0bb80191-8a77-11e7-89d0-1cc1de329608,FA2521-17-Q-B092,https://www.fbo.gov/spg/USAF/AFSC/45CONSb423/FA2521-17-Q-B092/listing.html,Air Force Space Command,45CONS (Bldg 423),32925-3238,082917,Link To Document,SRCSGT,0822,"Anthony J. Hatcher, Contract Specialist, Phone 3214940039, Email anthony.hatcher.3@us.af.mil - Iris Dagani, Contracting Officer, Phone 3214946287, Email iris.dagani@us.af.mil",Total Small Business
Camera Shutter Upgrade,,17,,Department of the Army,ATTN: CCMI-CHD-YPrBldg 2364 r301 C Street Yuma AZ 85365-9498,,,<MOD>,67,333316,0bb801a9-8a77-11e7-89d0-1cc1de329608,W9124R17T0060,https://www.fbo.gov/notices/b95c0a1e9aa9c71e8270a4ead7915e9d,"Army Contracting Command, MICC",MICC - Yuma Proving Ground,85365-9498,082417,Link To Document,SNOTE,0822,"Teresa Dinwiddie, Phone 928-328-2357, Email teresa.v.dinwiddie.civ@mail.mil",
Mobile Application to improve the service delivery model of MWR services,08262017,17,,Department of the Navy,5720 Integrity DriverBldg 457r Millington TN 38055,US,,<MOD>,D,541690,0bb801ba-8a77-11e7-89d0-1cc1de329608,HDQMWR-17-Q-0163,https://www.fbo.gov/notices/2ee92913b21dbd0c458f346097b504b0,Chief of Naval Installations,Chief of Naval Installations Command-MWR/VQ,38055,082517,Link To Document,SRCSGT,0822,"Jasmyn Payne, Contracting Specialist, Phone 901-874-6931, Email jasmyn.payne@navy.mil",N/A
N00019-19-R-0002 FY19-23 AN/SSQ-125A Sonobuoy,,17,,Department of the Navy,Building 2272r47123 Buse Road Unit IPT Patuxent River MD 20670,,,<MOD>,58,334511,0bb80219-8a77-11e7-89d0-1cc1de329608,N00019-19-R-0002,https://www.fbo.gov/spg/DON/NAVAIR/N00019/N00019-19-R-0002/listing.html,Naval Air Systems Command,NAVAIR HQ,20670,011618,Link To Document,PRESOL,0822,"Ed Waters, Contract Specialist, Phone 3017575257, Email edward.c.waters@navy.mil - Jennifer Hanson, Contract Specialist, Phone 301-757-9043, Email jennifer.hanson@navy.mil",
56--Gravel White River NWR,09132017,17,,Department of the Interior,"FWS, DIVISION OF CONTRACTING AND GR1875 CENTURY BOULEVARDSUITE 310AtlantaGA30345-3310",USA,72140,<MOD>,56,212319,0bb801d7-8a77-11e7-89d0-1cc1de329608,F17PS01338,https://www.fbo.gov/spg/DOI/FWS/CGSWO/F17PS01338/listing.html,Fish and Wildlife Service,CGS-WO,30345,082917,Link To Document,PRESOL,0822,"Jordan, Gerome",Total Small Business
"General Services Administration (GSA) seeks to lease the following space in McLeansville, NC",,16,,General Services Administration,161 N. Clark Street rSuite 2400 Chicago IL 60601,US,60601,<MOD>,X,531120,0bb80232-8a77-11e7-89d0-1cc1de329608,5NC0178,https://www.fbo.gov/notices/d8a968382a4421a2284622b41e40bbde,Public Buildings Service (PBS),PBS Center for Broker Services (47PA05),60601,080216,Link To Document,PRESOL,0712,"David Barrueta, Vice President, Phone 404-682-3445, Email david.barrueta@cushwake.com",N/A
Bridge Replacement - Excursion Inlet,,17,,Department of Agriculture,,US,,<MOD>,Y,237310,0bb801e0-8a77-11e7-89d0-1cc1de329608,AG-0109-S-17-0073,https://www.fbo.gov/spg/USDA/FS/109/AG-0109-S-17-0073/listing.html,Forest Service,R-10 Alaska Region,HUBZone,082917,Link To Document,PRESOL,0822,"Mari Meiners, Phone 9075868746, Email mmeiners@fs.fed.us",HUBZone
Analytical Support Services,,17,,Department of the Army,4310 Boothby Hill Rd ABERDEEN PROV GND  MD 21005-5001,,,<MOD>,R,541690,0bb80198-8a77-11e7-89d0-1cc1de329608,W91CRB-17-T-0033,https://www.fbo.gov/notices/49fd003ac401af14af5eff572b5e34a1,Army Contracting Command,ACC - APG (W91CRB ) Division D,21005-5001,100417,Link To Document,PRESOL,0822,"Kimberly A. McCarthy, Phone  4103060082, Email kimberly.a.mccarthy14.civ@mail.mil - Tara L. Casey, Email tara.l.casey.civ@mail.mil",
Responses to DIB Development 5th Edition Draft RFP comments ,,17,,Department of the Air Force,11 Barksdale Ave Bldg 1614 Hanscom Air Force Base MA 01731,,,<MOD>,99,541511,0bb8018b-8a77-11e7-89d0-1cc1de329608,FA873017R0024(2),https://www.fbo.gov/notices/cc8a73b0dbfce30f3f36ececfc436d60,Air Force Materiel Command,AFLCMC/HB - Hanscom,01731,,Link To Document,PRESOL,0822,"Daniel J. Dornfeld, Contract Specialist , Phone 7812259319, Email daniel.dornfeld.1@us.af.mil - Patricia Forest, Contracting Officer , Phone 7812259367, Email patricia.forest@us.af.mil",
D--Veterans Appeals Control and Locator System (VACOLS) Technical Support   ,10212017,17,lisa.martikes@va.gov,Department of Veterans Affairs,Department of Veterans Affairs;Technology Acquisition Center;23 Christopher Way;Eatontown NJ  07724,,,<MOD>,D,541512,0bb80266-8a77-11e7-89d0-1cc1de329608,VA11817N2274,https://www.fbo.gov/notices/8bf8a730a3a8f580a9cad1880c8c70e6,VA Technology Acquisition Center,VA Technology Acquisition Center,07724,,lisa.martikes@va.gov,SRCSGT,0822,Lisa MartikesContract Specialist732-440-9665lisa.martikes@va.gov,
