<SUBJECT>,<ARCHDATE>,<YEAR>,<EMAIL>,<AGENCY>,<OFFADD>,<POPCOUNTRY>,<POPZIP>,label,<CLASSCOD>,<NAICS>,iname,<SOLNBR>,<URL>,<OFFICE>,<LOCATION>,<ZIP>,<RESPDATE>,<DESC>,<NTYPE>,<DATE>,<CONTACT>,<SETASIDE>
72--ATV/UTV and Water Wagon,02282018,17,,Department of State,"Djibouti, Lotissement Haramous., Djibouti,  NA",US,08902,<AMDCSS>,72,,0bb80081-8a77-11e7-89d0-1cc1de329608,589_02,https://www.fbo.gov/notices/5930cb98843628257e6c792a0473b229,African Posts,"U.S. Embassy Djibouti, Republic of Djibouti",22030,090117,Link To Document,COMBINE  ,0822,"Name: Nasro Mohamed, Title: Procurement Clerk, Phone: +25321453000, Fax: , Email: mohamedna@state.gov;",N/A
AIRWorks Workload Acceptance,,17,,Department of the Navy,Building 441r21983 Bundy Road Unit 7 Patuxent River MD 20670,US,20670,<AMDCSS>,R,561499,0bb8013a-8a77-11e7-89d0-1cc1de329608,N00421-17-R-0013,https://www.fbo.gov/spg/DON/NAVAIR/N00421/N00421-17-R-0013/listing.html,Naval Air Systems Command,Naval Air Warfare Center Aircraft Division Pax River,20670,091217,Link To Document,COMBINE  ,0822,"Melissa A. Tennyson, Contract Specialist, Phone 301-757-9725, Email melissa.tennyson@navy.mil - Kristen Ferro, Contracting Officer, Phone 301-342-0627, Email Kristen.Ferro@navy.mil",Economically Disadvantaged Woman Owned Small Business
58--Qty. 76 VHF Data Radios,02212018,17,,Department of the Interior,"3020 State University Drive East, Sacramento, CA 95819",US,94025,<AMDCSS>,58,,0bb8015a-8a77-11e7-89d0-1cc1de329608,G17PS00853,https://www.fbo.gov/spg/DOI/USGS/USGS/G17PS00853/listing.html,U. S. Geological Survey,USGS - All Offices,22030,082517,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
Fetal Bovine Serum,,17,,Department of Agriculture,"1920 DAYTON AVE, AMES IA 50010",US,50010,<AMDCSS>,65,325413,0bb8009b-8a77-11e7-89d0-1cc1de329608,AG-S-17-0320-00171B,https://www.fbo.gov/notices/adb42d21c93c80eab6a2f5967432b17f,Animal and Plant Health Inspection Service,USDA APHIS,50010,082817,Link To Document,COMBINE  ,0822,"Lara J. Hicok, Contracting Officer, Phone 5153377159, Email lara.j.hicok@aphis.usda.gov",N/A
Waste Water Pumping - State of North Dakota,,17,,Department of the Army,1108 South R Street Fort McCoy WI 54656-5142,US,,<AMDCSS>,J,562211,0bb800af-8a77-11e7-89d0-1cc1de329608,W911SA-17-Q-0107,https://www.fbo.gov/notices/b7e5fcbae3a58b7aec7ad903e1216467,"Army Contracting Command, MICC",MICC - Fort McCoy (W911SA),54656-5142,082317,Link To Document,COMBINE  ,0822,"Katie Opper, Contract Specialist, Phone 6083885535, Email katie.j.opper.civ@mail.mil",Total Small Business
32--KEITH WALKING FLOOR,02212018,17,,Department of the Army,"328 Italy St., Ft. Stewart, GA 31313",US,31314,<AMDCSS>,32,,0bb800e1-8a77-11e7-89d0-1cc1de329608,STEWARTDPWCDH0009,https://www.fbo.gov/notices/c6ba166e0107b70a56d5be15a8719002,FedBid,FedBid.com -- for Department of Army procurements only,22030,082517,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
USCGC CHOCK BERTHING  MESSING,,17,,Department of Homeland Security,"2401 Hawkins Point RoadrBuilding 31, Mail Stop 26 Baltimore MD 21226-5000",,,<AMDCSS>,V,721110,0bb8016f-8a77-11e7-89d0-1cc1de329608,HSCG85-17Q-45R61,https://www.fbo.gov/spg/DHS/USCG/USCGELC/HSCG85-17Q-45R61/listing.html,United States Coast Guard (USCG),USCG Surface Forces Logistics Center (SFLC) ,21226-5000,,Link To Document,COMBINE  ,0822,"Cecelia J. Whitehead, CONTRACTING OFFICER, Phone 410-762-6495, Fax 410-762-6570CLOSING DATE FOR THI, Email Cecelia.J.Whitehead@uscg.mil",
32--MITERING CIRCULAR SAW,09132017,17,THOMAS.TREPANIER@DLA.MIL,Department of the Navy,"SPMYM2 DLA Maritime Puget Sound 467 W Street 2nd Floor Bremerton, WA",US,98315,<AMDCSS>,32,333243,0bb80140-8a77-11e7-89d0-1cc1de329608,SPMYM217Q2937,https://www.fbo.gov/notices/a097822ab055aaabcd3b80999cde8ca9,Naval Supply Systems Command,DLA Maritime PSNS,98314,082917,THOMAS.TREPANIER@DLA.MIL,COMBINE  ,0822,THOMAS TREPANIER (360) 476-4992 PLEASE DO NOT CALLTHOMAS.TREPANIER@DLA.MIL,N/A
BOSTON LOGAN RECONFIGURATION OF SPACE,,17,,Department of Homeland Security,"601 S. 12th StreetrTSA-25, 10th Floor Arlington VA 20598",US,02128,<AMDCSS>,Z,236220,0bb80158-8a77-11e7-89d0-1cc1de329608,HSTS17-17-R-REM460,https://www.fbo.gov/spg/DHS/TSA/HQTSA/HSTS17-17-R-REM460/listing.html,Transportation Security Administration,Headquarters TSA,20598,090117,Link To Document,COMBINE  ,0822,"Charlotte Michelle Carney, CONTRACTING OFFICER, Phone 6098133327, Email charlotte.carney1@tsa.dhs.gov",N/A
70--IT Data Storage Upgrade - ISBEE SET-ASIDE,09152017,17,,Department of the Interior,BIA CENTRAL 0001612220 Sunrise Valley DriveContracting OfficeRestonVA20191US,,,<AMDCSS>,70,334112,0bb800b6-8a77-11e7-89d0-1cc1de329608,A17PS00869,https://www.fbo.gov/spg/DOI/BIA/RestonVA/A17PS00869/listing.html,Bureau of Indian Affairs,BIA - DAPM,20191,082917,Link To Document,COMBINE  ,0822,"Geffre, Ryan",
R--Strategic Habitat Conservation Technical Support for FWS in R5,09132017,17,,Department of the Interior,"FWS, DIVISION OF CONTRACTING AND GE300 WESTGATE CENTER DRIVEHADLEYMA01035-9589US",,,<AMDCSS>,R,541690,0bb80107-8a77-11e7-89d0-1cc1de329608,F17PS01270,https://www.fbo.gov/spg/DOI/FWS/CGSWO/F17PS01270/listing.html,Fish and Wildlife Service,CGS-WO,01035,082917,Link To Document,COMBINE  ,0822,"Pasiecnik, Justine",
R--Courier Services for Pharmacy  Logistics    ,09142017,17,vance.farrell@va.gov,Department of Veterans Affairs,"Department of Veterans Affairs;Network Contracting Office 17;5441 Babcock Rd., Ste. 302;San Antonio TX  78240",USA,78229-4404,<AMDCSS>,R,492110,0bb80180-8a77-11e7-89d0-1cc1de329608,VA25717Q1016,https://www.fbo.gov/spg/VA/VASTHCS/VASTHCS/VA25717Q1016/listing.html,VA South Texas Health Care System,Department of Veterans Affairs South Texas Health Care System,78229,082917,POC,COMBINE  ,0822,Vance FarrellNetwork Contracting Office 17POC,N/A
support in the development of x93Adapting and Adopting Lay Counseling Approaches in the U.S.x94.,,17,,Department of Health and Human Services,7700 Wisconsin Ave Bethesda MD 20857,,,<AMDCSS>,A,541990,0bb80155-8a77-11e7-89d0-1cc1de329608,FBO_17-233-SOL-00939,https://www.fbo.gov/spg/HHS/PSC/DAM/FBO_17-233-SOL-00939/listing.html,Program Support Center,Acquisition Management Services,20857,090117,Link To Document,COMBINE  ,0822,"Patrick D. Hacker, Phone 3014925577, Email patrick.hacker@psc.hhs.gov",
LASER ENGRAVING SYSTEM,02152018,17,,Department of the Navy,610 Dowell Street Keyport WA 98345-7610,,,<AMDCSS>,34,333517,0bb8013e-8a77-11e7-89d0-1cc1de329608,N0025317Q0264,https://www.fbo.gov/spg/DON/NAVSEA/N00253/N0025317Q0264/listing.html,Naval Sea Systems Command,NUWC Keyport Division,98345-7610,082517,Link To Document,COMBINE  ,0822,"Jodi Hultquist, Phone 3603153519, Email jodi.hultquist@navy.mil",
20--Marine DVR ,02202018,17,,Department of Homeland Security,"1331 Pennslyvania Ave, Washington , DC 20229",-,-,<AMDCSS>,20,,0bb800c5-8a77-11e7-89d0-1cc1de329608,20101608,https://www.fbo.gov/spg/DHS/USCS/PDDC20229/20101608/listing.html,Customs and Border Protection,Procurement Directorate - DC,22030,082417,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
USNS BIG HORN TV-DTS System Repair ,,17,,Department of the Navy,Building SP-64r471 East C StreetrNaval Station Norfolk Norfolk VA 23511,,,<AMDCSS>,D,517410,0bb80114-8a77-11e7-89d0-1cc1de329608,N3220517Q1095,https://www.fbo.gov/notices/c768b2a9e13685963c1d5d8e597fb9fd,Military Sealift Command,MSC Norfolk (N32205),23511,082817,Link To Document,COMBINE  ,0822,"Lisa Turlington, Phone (757) 443-0866, Email lisa.turlington@navy.mil",
"Snagging and Clearing Black Rock Channel, Bird Island Pier, Buffalo River and Harbor ",,17,,Department of the Army,1776 Niagara St. Buffalo NY 14207-3199,US,142017,<AMDCSS>,F,562998,0bb8015d-8a77-11e7-89d0-1cc1de329608,W912P4-17-T-0025,https://www.fbo.gov/spg/USA/COE/DACW49/W912P4-17-T-0025/listing.html,U.S. Army Corps of Engineers,"USACE District, Buffalo",14207-3199,083017,Link To Document,COMBINE  ,0822,"Gayle A Geiger, Puchasing Agent, Phone 716-879-4211, Fax 716-879-4353      , Email gayle.geiger@usace.army.mil - Walter Kamad, Contracting Officer, Phone 716-879-4134, Fax 716-879-4353, Email walter.kamad@usace.army.mil",Total Small Business
45--PVI water heater,02192018,17,,Department of Justice,"1000 Custer Hollow Road, Clarksburg, WV 26306",US,26306,<AMDCSS>,45,,0bb80102-8a77-11e7-89d0-1cc1de329608,DJF-17-0100-PR-0010726,https://www.fbo.gov/spg/DOJ/FBI/FedBid/DJF-17-0100-PR-0010726/listing.html,Federal Bureau of Investigation,FedBid Marketplace,22030,082317,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
Country and Sovereign Risk Training,,17,,Overseas Private Investment Corporation,"1100 New York Ave, NW Washington DC 20527",US,20527,<AMDCSS>,U,611430,0bb800c4-8a77-11e7-89d0-1cc1de329608,OPIC-17-R-0022,https://www.fbo.gov/spg/OPIC/CAS/CAS/OPIC-17-R-0022/listing.html,Contracts and Administrative Services,Contracts and Administrative Services,20527,082817,Link To Document,COMBINE  ,0822,"Trenescia Cowans, Phone 2023368575, Email Trenescia.Cowans@opic.gov",Total Small Business
56--Preserve Existing Steel Roofs on 9 Passenger Coaches,02242018,17,,Department of the Interior,"210 New York Avenue, Staten Island, NY 10305",-,-,<AMDCSS>,56,,0bb80131-8a77-11e7-89d0-1cc1de329608,40351128,https://www.fbo.gov/spg/DOI/NPS/APC-IS/40351128/listing.html,National Park Service,NPS - All Offices,22030,082817,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
JB Municipal Solid Waste,,17,,Department of the Air Force,101 E. Hill BlvdrBldg 503 Charleston AFB SC 29404-5021,US,29404,<AMDCSS>,S,562111,0bb80094-8a77-11e7-89d0-1cc1de329608,FA441817R0024,https://www.fbo.gov/spg/USAF/AMC/437CONS/FA441817R0024/listing.html,Air Mobility Command,628th CONS,29404-5021,082517,Link To Document,COMBINE  ,0822,"William Washington, Contract Specialist, Phone 8439633569, Email william.washington.1@us.af.mil - Jacqueline Brown, Contracting Officer, Phone (843) 963-5857, Fax (843) 963-5183, Email jacqueline.brown.1@us.af.mil",Competitive 8(a)
Pillowtop Mattresses,,17,,Department of the Navy,PO Box 8368 MCB Camp Lejeune NC 28547-8368,US,29904,<AMDCSS>,71,337910,0bb80175-8a77-11e7-89d0-1cc1de329608,M6700117Q1363,https://www.fbo.gov/spg/DON/USMC/M67001/M6700117Q1363/listing.html,United States Marine Corps,MCB Camp Lejeune - RCO,28547-8368,,Link To Document,COMBINE  ,0822,"Margaret A Velez, Phone 9104513094, Email Margaret.velez@usmc.mil",Total Small Business
Expeditionary Operations School Logistics Support Services,,17,,Department of the Air Force,2402 Vandenburg McGuire AFB NJ 08641,US,08641,<AMDCSS>,R,541614,0bb80098-8a77-11e7-89d0-1cc1de329608,FA448417R0018,https://www.fbo.gov/spg/USAF/AMC/305CONS/FA448417R0018/listing.html,Air Mobility Command,87th CONS,08641,082417,Link To Document,COMBINE  ,0822,"Christopher R. York, Contract Specialist, Phone 6097542430, Email christopher.york.13@us.af.mil - Lee Lamarre, Contract Specialist, Phone (609) 754-2997, Email lee.lamarre@us.af.mil",Service-Disabled Veteran-Owned Small Business
Environmental Equipment Maintenance and Repair Services for HVAC,,17,,Pension Benefit Guaranty Corporation,"1200 K Street, N.W. Washington DC 20005-4026",US,20005-4026,<AMDCSS>,59,238220,0bb800c1-8a77-11e7-89d0-1cc1de329608,PBGC01-RQ-17-0089,https://www.fbo.gov/spg/PBGC/CMO/PD/PBGC01-RQ-17-0089/listing.html,Chief Management Officer,Procurement Department,20005-4026,082917,Link To Document,COMBINE  ,0822,"Mark Miller, Contracting Officer, Phone 202-326-4000, Fax 202-326-4162, Email Miller.Mark@pbgc.gov - Patrick McFarlane, Contracting Officer, Phone 202-326-4000, Email mcfarlane.patrick@pbgc.gov",Total Small Business
AETC Airlift Support Services,10062017,17,,General Services Administration,819 Taylor StreetrRoom:  11A30 Fort Worth TX 76102,US,,<AMDCSS>,V,481211,0bb80100-8a77-11e7-89d0-1cc1de329608,ID07170035,https://www.fbo.gov/notices/b7b5469d487b1377983ff0b4906df2b6,Federal Acquisition Service (FAS),Acquisition Operations Division/Network Services Division (7QFA),76102,090517,Link To Document,COMBINE  ,0822,"Tammy L. Mattox, Contracting Officer, Email tammy.mattox@gsa.gov",Total Small Business
"Cusodial Services, Facility ID003 Boise, Idaho",,17,,Department of the Army,1108 South R Street Fort McCoy WI 54656-5142,US,83705,<AMDCSS>,S,561720,0bb800ac-8a77-11e7-89d0-1cc1de329608,W911SA-17-Q-3032,https://www.fbo.gov/notices/6e0c9f5e3ed3fe15a36323067278d74f,"Army Contracting Command, MICC",MICC - Fort McCoy (W911SA),54656-5142,082817,Link To Document,COMBINE  ,0822,"Shannon Wamsley, Email shannon.g.wamsley.civ@mail.mil",Woman Owned Small Business
66--Field Emission Gun Electron Microprobe (FEG-EMP) Instrument ,09162017,17,,Department of the Interior,USGS OAG DENVER ACQUISITION BRANCHPO BOX 25046204 DENVER FEDERAL CENTERDENVERCO80225-0046US,,,<AMDCSS>,66,334516,0bb80159-8a77-11e7-89d0-1cc1de329608,G17PS00568,https://www.fbo.gov/spg/DOI/USGS/USGS/G17PS00568/listing.html,U. S. Geological Survey,USGS - All Offices,80225,090117,Link To Document,COMBINE  ,0822,"Hayes, Lisa",
LED High Mass Lights,,17,,Department of the Air Force,101 E. Hill BlvdrBldg 503 Charleston AFB SC 29404-5021,,,<AMDCSS>,K,335122,0bb80095-8a77-11e7-89d0-1cc1de329608,N4561017RCMA002,https://www.fbo.gov/spg/USAF/AMC/437CONS/N4561017RCMA002/listing.html,Air Mobility Command,628th CONS,29404-5021,082917,Link To Document,COMBINE  ,0822,"Kathryn R. Brown, Contracting Specialist, Phone 8439633304, Email kathryn.brown.8@us.af.mil",
S--Tree Removal (without felling) at Cemetery on JBLM,02242018,17,,Department of the Army,"MS-19, Box 339500, Joint Base Lewis-McChord, WA 98433",-,-,<AMDCSS>,S,,0bb800e4-8a77-11e7-89d0-1cc1de329608,17-Q-2726,https://www.fbo.gov/notices/6faaa77d9ea55ff86e1b16c6fd9501ab,FedBid,FedBid.com -- for Department of Army procurements only,22030,082817,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Woman Owned Small Business
Music Instruments  Accessories,,17,,Department of the Army,47 Bataan Road Santa Fe NM 87505-4695,US,87123,<AMDCSS>,77,339992,0bb80122-8a77-11e7-89d0-1cc1de329608,W912J3-17-T-0030,https://www.fbo.gov/spg/USA/NGB/DAHA29/W912J3-17-T-0030/listing.html,National Guard Bureau,USPFO for New Mexico,87505-4695,082517,Link To Document,COMBINE  ,0822,"Kim M. Armstrong, Contract Specialist, Phone 505-474-1820, Email kim.m.armstrong5.civ@mail.mil",Total Small Business
Hydraulic Pressure Controller,,17,,Department of the Army,144 Military Drive JACKSON MS 39208-8860,US,39505,<AMDCSS>,66,334513,0bb80120-8a77-11e7-89d0-1cc1de329608,W9127Q-17-T-0058,https://www.fbo.gov/spg/USA/NGB/DAHA22/W9127Q-17-T-0058/listing.html,National Guard Bureau,USPFO for Mississippi,39208-8860,082517,Link To Document,COMBINE  ,0822,"Adam Austin, Phone 6013131557, Email adam.n.austin.mil@mail.mil",Total Small Business
"S--OPTION - Grounds Maintenance Services MI024 in Waterford, MI",02202018,17,,Department of the Army,"1108 South R Street, Fort McCoy, WI 54656",-,-,<AMDCSS>,S,,0bb800f9-8a77-11e7-89d0-1cc1de329608,W911SA-17-Q-3070,https://www.fbo.gov/notices/77f52305cf0642d2c524f02fe4766157,FedBid,FedBid.com -- for Department of Army procurements only,22030,082417,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Woman Owned Small Business
Transient Alert/Washrack Services,,17,,Department of the Air Force,350 Tully Street Hurlburt Field FL 32544-5810,US,32544,<AMDCSS>,S,488119,0bb80092-8a77-11e7-89d0-1cc1de329608,FA4417-17-R-0015,https://www.fbo.gov/spg/USAF/AFSOC/16CS/FA4417-17-R-0015/listing.html,Air Force Special Operations Command,1 SOCONS- Hurlburt,32544-5810,091917,Link To Document,COMBINE  ,0822,"Sarahanne Funkhouser, Phone 8508843272, Email sarahanne.funkhouser@us.af.mil - David P. Jesmain, Contracting Officer, Phone 850-884-3262, Fax 850-884-5372, Email david.jesmain.1@us.af.mil",Competitive 8(a)
ROBOTIC ARM WITH CONTROLLER,,17,,Department of Commerce,"Norfolk Federal Building, 200 Granby Street Norfolk VA 23510",,,<AMDCSS>,66,333249,0bb8012a-8a77-11e7-89d0-1cc1de329608,EA-133C-17-RQ-0754,https://www.fbo.gov/spg/DOC/NOAA/EASC/EA-133C-17-RQ-0754/listing.html,National Oceanic and Atmospheric Administration (NOAA),Eastern Acquisition Division - Norfolk,23510,082917,Link To Document,COMBINE  ,0822,"Lynne B. Phipps, Contract Specialist, Phone 757-605-7404, Email Lynne.Phipps@noaa.gov - Dawn J. Dabney, Contract Specialist, Phone 757-441-6881, Email Dawn.Dabney@noaa.gov",
Z--WA-LWS-FLOOR AND CARPET REPLACE,09142017,17,,Department of the Interior,"FWS, DIVISION OF CONTRACTING AND GEEASTSIDE FEDERAL COMPLEX911 NE 11TH AVENUEPORTLANDOR97232-4181US",,,<AMDCSS>,Z,238330,0bb80108-8a77-11e7-89d0-1cc1de329608,F17PS01043,https://www.fbo.gov/spg/DOI/FWS/CGSWO/F17PS01043/listing.html,Fish and Wildlife Service,CGS-WO,97232,083017,Link To Document,COMBINE  ,0822,"Boisvert, Ryan",
"TOOL KIT,AIRCRAFT M",,17,,Defense Logistics Agency,"Defense Logistics AgencyrAviation AHArMartin Road, Building 5201 Redstone Arsenal AL 35898-5280",,,<AMDCSS>,51,332216,0bb800cb-8a77-11e7-89d0-1cc1de329608,SPRRA1-17-R-0232,https://www.fbo.gov/notices/278a6b0eed1217011853c3d560adc294,DLA Acquisition Locations,DLA Aviation - Huntsville,35898-5280,082917,Link To Document,COMBINE  ,0822,"Clarissa E. Cooney, Contract Specialist, Phone 2568760145, Email clarissa.cooney@dla.mil",
H--OPTION - Underground Storage Tank Testing,02202018,17,,Department of the Army,"9410 Jackson Loop Bldg 1425, Fort Belvoir, VA 22060",-,-,<AMDCSS>,H,,0bb800da-8a77-11e7-89d0-1cc1de329608,W91QV1-17-T-0135,https://www.fbo.gov/notices/9310c12d84e49d1ac440e872c7e7b2bf,FedBid,FedBid.com -- for Department of Army procurements only,22030,082417,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
TV Services,,17,,Department of the Navy,Building 441r21983 Bundy Road Unit 7 Patuxent River MD 20670,,,<AMDCSS>,70,517919,0bb80139-8a77-11e7-89d0-1cc1de329608,N0042117Q0288,https://www.fbo.gov/spg/DON/NAVAIR/N00421/N0042117Q0288/listing.html,Naval Air Systems Command,Naval Air Warfare Center Aircraft Division Pax River,20670,090617,Link To Document,COMBINE  ,0822,"Colleen Ringler, Email colleen.ringler@navy.mil",
66--Reagents for HIV drug testing: DRMST at CDC Atlanta,02212018,17,,Department of Health and Human Services,"2920 Brandywine Road, Atlanta, GA 30341",US,30329-4018,<AMDCSS>,66,,0bb800c0-8a77-11e7-89d0-1cc1de329608,2017-14644,https://www.fbo.gov/spg/HHS/CDCP/PGOA/2017-14644/listing.html,Centers for Disease Control and Prevention,Procurement and Grants Office (Atlanta),22030,082517,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",N/A
Equipment for wood removal at Mud Mountain Dam  Howard A. Hanson Dam,,17,,Department of the Army,Attn: CENWS-CTrPO Box 3755 Seattle WA 98124-3755,US,,<AMDCSS>,W,532412,0bb80164-8a77-11e7-89d0-1cc1de329608,W912DW17Q0095,https://www.fbo.gov/spg/USA/COE/DACA67/W912DW17Q0095/listing.html,U.S. Army Corps of Engineers,"USACE District, Seattle",98124-3755,082417,Link To Document,COMBINE  ,0822,"Alex R. Marcinkiewicz, Phone 206-764-6070, Email alex.r.marcinkiewicz@usace.army.mil - Gregory Cook, Phone 206-764-6692, Email gregory.cook@usace.army.mil",Total Small Business
HF NVIS Antenna Installation,,17,,Department of the Army,"3110 MITCHELL STREET, BLDG 500 MADISON WI 53704-2591",US,53704,<AMDCSS>,58,517210,0bb8011c-8a77-11e7-89d0-1cc1de329608,W912J2-17-Q-1029,https://www.fbo.gov/spg/USA/NGB/DAHA47-1/W912J2-17-Q-1029/listing.html,National Guard Bureau,"115 MSG/MSC, WI ANG",53704-2591,090517,Link To Document,COMBINE  ,0822,"Scott E. Homner, Contract Specialist, Phone 6082454524, Email scott.e.homner.mil@mail.mil",Total Small Business
"67--ActivPanels with ActivConnect and Speaker Kit for the Bureau of Indian Education, Turtle Mountain Middle School in Belcourt, ND.",02242018,17,,Department of the Interior,"115 4th Ave. SE Suite 400, Aberdeen, SD 57401",US,58316,<AMDCSS>,67,,0bb800ba-8a77-11e7-89d0-1cc1de329608,40353187,https://www.fbo.gov/spg/DOI/BIA/RestonVA/40353187/listing.html,Bureau of Indian Affairs,BIA - DAPM,22030,082817,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Indian Economic Enterprises
Graphics and Photography Services,02172018,17,,Department of the Navy,610 Dowell Street Keyport WA 98345-7610,,,<AMDCSS>,T,541430,0bb8013d-8a77-11e7-89d0-1cc1de329608,N0025317Q0291,https://www.fbo.gov/spg/DON/NAVSEA/N00253/N0025317Q0291/listing.html,Naval Sea Systems Command,NUWC Keyport Division,98345-7610,082517,Link To Document,COMBINE  ,0822,"Diana L. Lasota, Email diana.lasota@navy.mil",
34--Punches planer ,02242018,17,,Department of the Army,"1401 Robert B Miller Drive, Garden City, GA 31408",US,31408-9001,<AMDCSS>,34,,0bb800f1-8a77-11e7-89d0-1cc1de329608,F8W2MX7219AW06_01,https://www.fbo.gov/notices/55787cba5f63d363c7934a3fef6c0e26,FedBid,FedBid.com -- for Department of Army procurements only,22030,082817,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",N/A
"Blast Resistant Windows for Building A, 1st  2nd Floor",09022017,17,,Government Publishing Office,"732 North Capitol Street, NW Washington DC 20401",US,20401,<AMDCSS>,Z,236220,0bb8007f-8a77-11e7-89d0-1cc1de329608,GPO040ADV-17-R-0033,https://www.fbo.gov/spg/GPO/PSPSD/WashingtonDC/GPO040ADV-17-R-0033/listing.html,Acquisition Services,Acquisition Services,20401,090117,Link To Document,COMBINE  ,0822,"Spencer D. Morgan, Phone 2025120966, Email smorgan@gpo.gov",N/A
H--Soil and Water Analysis,02182018,17,,Department of the Interior,"P O Box 35005, Ft. Wainwright, AK 99703",US,99703-0005,<AMDCSS>,H,,0bb800bb-8a77-11e7-89d0-1cc1de329608,0040344636,https://www.fbo.gov/spg/DOI/BLM/AK/0040344636/listing.html,Bureau of Land Management,Alaska Region,22030,082217,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
Scanning Electron Microscope,,17,,Department of the Air Force,8110 Industrial DriverSuite 200 USAF Academy CO 80840-2315,US,39534-2519,<AMDCSS>,65,334516,0bb800c9-8a77-11e7-89d0-1cc1de329608,FA700017T0056,https://www.fbo.gov/spg/USAF/DRU/10ABWLGC/FA700017T0056/listing.html,Direct Reporting Units,USAF Academy - 10 CONS,80840-2315,082817,Link To Document,COMBINE  ,0822,"Dorothy B Boughn, Contract Specialist, Phone 7193334724, Fax 7193339075, Email dorothy.boughn@us.af.mil - Jerry B. Smith, Contracting Officer, Phone 719338267, Fax 719-333-9075, Email jerry.smith.25@us.af.mil",N/A
"62--Lighting Housings, Panels, and LED Assemblies",02252018,17,,Department of the Interior,"24290 Doane Mountain Rd, Keystone, SD 57751",US,57750,<AMDCSS>,62,,0bb80134-8a77-11e7-89d0-1cc1de329608,P17PS02772,https://www.fbo.gov/spg/DOI/NPS/APC-IS/P17PS02772/listing.html,National Park Service,NPS - All Offices,22030,082917,Link To Document,COMBINE  ,0822,"Name: Client Services, Title: Client Services, Phone: 1.877.933.3243, Fax: 703.422.7822, Email: Clientservices@fedbid.com;",Total Small Business
High Bandwidth Pressure Sensors,,17,,National Aeronautics and Space Administration,"NASA Shared Services Center (NSSC), Building 1111, Jerry Hlass Road Stennis Space Center MS 39529",,,<AMDCSS>,66,334519,0bb80116-8a77-11e7-89d0-1cc1de329608,80NSSC17Q0255,https://www.fbo.gov/notices/a5a1b1b2798dd0f4d556ace28fc5804e,NASA Shared Services Center,Simplified Acquisitions,39529,082417,Link To Document,COMBINE  ,0822,"Leavern Guy, Phone 2288136628, Email leavern.guy@nasa.gov - Bruce T McDonald, Contract Officer, Phone 228-813-6310, Email bruce.t.mcdonald@nasa.gov",
Image Scanning Service,,17,,Department of the Army,45 West Street Fort Drum NY 13602-5220,US,13602,<AMDCSS>,D,518210,0bb800ab-8a77-11e7-89d0-1cc1de329608,W911S2-17-T-3013,https://www.fbo.gov/notices/00a5eabb90120bfde5018b123a731620,"Army Contracting Command, MICC",MICC - Fort Drum,13602-5220,090517,Link To Document,COMBINE  ,0822,"Victoria Schermerhorn, Phone 3157726523, Email victoria.e.schermerhorn.civ@mail.mil",Woman Owned Small Business
NARCAN (Naloxone Hcl),,17,,Department of Justice,None Washington DC 20537,,,<AMDCSS>,65,446110,0bb800d1-8a77-11e7-89d0-1cc1de329608,DJD-17-Q-0147,https://www.fbo.gov/spg/DOJ/DEA/OAM/DJD-17-Q-0147/listing.html,Drug Enforcement Administration,Office of Acquisition Management,20537,082517,Link To Document,COMBINE  ,0822,"Teresa Roshau-Delgado, Phone 2023531456, Email teresa.a.roshau-delgado@usdoj.gov",
