AGENCY,iname,label,AWDNBR,YEAR,OFFICE,SOLNBR,LOCATION,NTYPE,DATE
Department of the Navy,b6796109-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,M0026417P0116,17,United States Marine Corps,null,MCB Quantico - National Capital Region (NCR),AWARD,0725
Department of the Navy,b67960c8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Space and Naval Warfare Systems Command,N66001-17-Q-7334,SPAWAR Systems Center Pacific,COMBINE  ,0718
Department of the Navy,b679602f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Sea Systems Command,N0002417SN025,NAVSEA HQ,SNOTE,0711
Department of the Navy,b679603f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPMYM217Q2754,DLA Maritime PSNS,PRESOL,0804
Department of the Air Force,b635f8e8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPRTA1-17-F-0566,17,Air Force Materiel Command,null,PK/PZ Tinker AFB,AWARD,0810
Department of the Interior,b635f95f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Reclamation,R17PS01187,BOR - All Offices,PRESOL,0706
Defense Logistics Agency,b635f9df-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPETA617P1310,17,DLA Acquisition Locations,null,DLA Aviation - BSM,AWARD,0810
Agency for International Development,b67960a7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Overseas Missions,SOL-167-17-000002,Kosovo USAID-Pristina,COMBINE  ,0130
Department of the Navy,b679605d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117RWQ58,NAVSUP Weapon Systems Support Mechanicsburg PA,SRCSGT,0803
Department of the Navy,b6796079-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A116G0005THA5,17,Naval Supply Systems Command,SPRPA117RV382,NAVSUP Weapon Systems Support Philadelphia PA,AWARD,0727
Defense Logistics Agency,b6795f5d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE7MC17R0060,DLA Land and Maritime - BSM,PRESOL,0622
Department of Agriculture,b635f8ff-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,AG-6395-P-17-0280,17,Animal and Plant Health Inspection Service,AG-6395-S-17-0119,Administrative Services Division/Contracting,AWARD,0725
Defense Logistics Agency,b635f9b9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A617X0786,DLA Aviation - BSM,PRESOL,0626
Department of the Navy,b679604b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N0040617Q0040,NAVSUP Fleet Logistics Center Puget Sound,PRESOL,0705
Defense Logistics Agency,b635f99b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517R1184,DLA Aviation - BSM,SRCSGT,0706
Defense Logistics Agency,b6795f70-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE8EF17CF015,17,DLA Acquisition Locations,SPE8EF17T2349,DLA Troop Support - Construction  Equipment - BSM,AWARD,0810
Department of the Treasury,b635f93e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Engraving and Printing,2031ZA17R00007,Office of Acquisition,PRESOL,0706
Department of Homeland Security,b6796101-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCG40-17-Q-40567,USCG Surface Forces Logistics Center (SFLC) Procurement Branch 2,COMBINE  ,0727
Department of the Air Force,b635f8db-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,FA862317C0002,17,Air Force Materiel Command,null,"AFLCMC/PK - WPAFB (includes  PZ, WL, WW, WI, WN, WK, LP, WF, WK)",AWARD,0810
Department of Justice,b6795f83-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Drug Enforcement Administration,D-17-SI-0218,Office of Acquisition Management,SNOTE,0821
Department of the Interior,b635f94c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Land Management,L17PS00864,Idaho Region,COMBINE  ,0720
Defense Logistics Agency,b635f9b8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A717PD448,17,DLA Acquisition Locations,SPE4A717TK399,DLA Aviation - BSM,AWARD,0810
Defense Logistics Agency,b635f9c4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A717C0468,17,DLA Acquisition Locations,null,DLA Aviation - BSM,AWARD,0810
Defense Logistics Agency,b635f9ca-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A717PD455,17,DLA Acquisition Locations,SPE4A717TJ623,DLA Aviation - BSM,AWARD,0810
Defense Logistics Agency,b635f9e3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SP470516D00060037,17,DLA Acquisition Locations,null,DLA Contracting Services Office,AWARD,0810
Department of Health and Human Services,b635f96b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Centers for Medicare  Medicaid Services,CCSQ-393-2017-0059,Office of Acquisition and Grants Management,SNOTE,0726
Department of the Army,b67960e9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,W81K02-17-D-0008,17,U.S. Army Medical Command,W81K02-17-T-0334,REGIONAL HEALTH CONTR OFC PACIFIC,AWARD,0810
Defense Logistics Agency,b6795f5c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7MC17P5712,17,DLA Acquisition Locations,SPE7MC17TN774,DLA Land and Maritime - BSM,AWARD,0810
Defense Logistics Agency,b6795f57-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A115G00060923,17,DLA Acquisition Locations,SPE7M417T2581,DLA Land and Maritime - BSM,AWARD,0810
Department of the Navy,b635f953-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Medicine and Surgery,N32398HLATYPING,Naval Medical Logistics Command,PRESOL,0726
Department of State,b6795f84-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,European Posts,SEN10017Q0003,"U.S. Embassy Tallinn, Estonia",JA,0802
Social Security Administration,b679609c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SS04-17-6R024,17,"Office of Budget, Finance, Quality and Management",SSA-RFQ-R04-17-1024,Office of Acquisition and Grants,AWARD,0810
Department of Veterans Affairs,b6795fc8-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Long Beach VANLO,VA26217Q1425,Department of Veterans Affairs,COMBINE  ,0720
Architect of the Capitol,b635f900-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,AOC Acquisition  Material Management Division,IFBCGA170036,Acquisition and Material Management Division,COMBINE  ,0710
Department of the Navy,b6796107-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Marine Corps,M67001-17-Q-1381,MCB Camp Lejeune - RCO,PRESOL,0811
Department of the Army,b635f905-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,W909MY-17-C-0017,17,Army Contracting Command,W909MY-17-R-E008,ACC - APG (W909MY) Belvoir,AWARD,0810
Department of the Army,b635f927-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",UNAWRD-17-T-8117,MICC - Fort Belvoir,SRCSGT,0804
Department of the Air Force,b67960ad-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Pacific Air Forces,FA5004-17-B-C005,354 CONS - Eielson,PRESOL,0801
Department of Veterans Affairs,b6796126-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Northwest Health Network,VA26017Q0548,VA Northwest Health Network,PRESOL,0719
Department of the Interior,b67960cf-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U. S. Geological Survey,G17PS00256,USGS - All Offices,PRESOL,0411
Social Security Administration,b679609a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SS04-17-6R023,17,"Office of Budget, Finance, Quality and Management",SSA-RFQ-R04-17-1022,Office of Acquisition and Grants,AWARD,0810
Department of the Army,b635f934-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",W911SD-17-T-0429,MICC - West Point,COMBINE  ,0803
Defense Logistics Agency,b635f998-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,6625014341238,DLA Aviation - BSM,SRCSGT,0725
Department of the Army,b635f922-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, ECC",W912PB17T3134,409th CSB (W912PB) RCO Bavaria,PRESOL,0724
Department of the Navy,b6796062-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,N0010417QFG49,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0706
Defense Logistics Agency,b635f9cc-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517TCZ27,DLA Aviation - BSM,COMBINE  ,0705
Department of Energy,b6795f90-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Federal Locations,DE-SOL-0011358,All DOE Federal Contracting Offices,PRESOL,0605
Department of Commerce,b6795ff4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Institute of Standards and Technology (NIST),SB1341-17-I-03549,Acquisition Management Division,SNOTE,0801
Department of Health and Human Services,b6795f9e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Food and Drug Administration,FDA-1185414,Office of Acquisitions and Grants Services - Jefferson,COMBINE  ,0801
Department of State,b635f945-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of International Narcotics and Law Enforcement Affairs,SINLEC17R0008,"Grants, Acquisitions, Procurement and Policy Division (INL/RM/GAPP)",COMBINE  ,0803
Defense Logistics Agency,b635f99d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A617PK172,17,DLA Acquisition Locations,SPE4A617T7349,DLA Aviation - BSM,AWARD,0810
Department of Health and Human Services,b6795ff7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Institutes of Health,NICHD-17-176,"Natl Institute of Diabetes, Digestive,  Kidney Diseases",COMBINE  ,0820
Defense Logistics Agency,b6795f5f-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7L317P7725,17,DLA Acquisition Locations,SPE7L317TK988,DLA Land and Maritime - BSM,AWARD,0810
Defense Logistics Agency,b6795f56-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7L317P7656,17,DLA Acquisition Locations,SPE7L317TH846,DLA Land and Maritime - BSM,AWARD,0810
Defense Logistics Agency,b635f9b0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517TDH72,DLA Aviation - BSM,COMBINE  ,0712
Department of the Army,b635f91a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W58RGZ17R0137,ACC - RSA (W58RGZ) Aviation,PRESOL,0710
Department of the Army,b635f910-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W15QKN-17-X-0ARL,ACC - NJ (W15QKN),PRESOL,0807
Department of the Interior,b67960d0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,U. S. Geological Survey,G16PS00380,USGS - All Offices,PRESOL,0629
Department of the Army,b635f91e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W911KF-17-Q-0029,ACC - WRN (W911KF)(ANAD),COMBINE  ,0322
Department of the Air Force,b635f8e9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Materiel Command,FA8125-17-Q-0113,PK/PZ Tinker AFB,COMBINE  ,0803
Department of the Interior,b635f952-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,L17PC00024/L17PD00711,17,Bureau of Land Management,null,New Mexico Region,AWARD,0810
Defense Logistics Agency,b635f9d3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A017P0983,17,DLA Acquisition Locations,null,DLA Aviation - BSM,AWARD,0810
Department of the Army,b635f903-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W25G1V17T0418,ACC - APG (W25G1V) Tobyhanna,COMBINE  ,0803
Department of the Air Force,b635f8cf-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Education and Training Command,FA3020-17-R-0018,Sheppard AFB Contracting Office,COMBINE  ,0720
Defense Logistics Agency,b635f9a5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,6625014332695,DLA Aviation - BSM,SRCSGT,0726
Department of the Interior,b6795f99-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Fish and Wildlife Service,F17PS01038,CGS-WO,PRESOL,0727
Other Defense Agencies,b67960f0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Special Operations Command,H92240-17-P-0121,NAVSOC,PRESOL,0807
Department of the Navy,b6795fcc-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Military Sealift Command,N32205-17-R-3228,MSC Norfolk (N32205),PRESOL,0804
Department of Health and Human Services,b6795ffd-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Institutes of Health,HHS-NIH-NIDA-SSSA-SBSS-2017-611,"National Institute on Drug Abuse, Station Support/Simplified Acquisitions",SRCSGT,0730
Department of the Army,b67960ec-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Medical Command,W81K00-17-T-0380,REGIONAL HEALTH CONTRACT OFF CENTRAL,SRCSGT,0802
Defense Logistics Agency,b635f9ad-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A717PC917,17,DLA Acquisition Locations,SPE4A717Q1255,DLA Aviation - BSM,AWARD,0810
General Services Administration,b67960b9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Public Buildings Service (PBS),5WV0116,PBS Center for Broker Services (47PA05),PRESOL,0803
Defense Logistics Agency,b6795f38-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7L317P7689,17,DLA Acquisition Locations,SPE7L317TM145,DLA Land and Maritime - BSM,AWARD,0810
Defense Logistics Agency,b6795f1a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SP470217C0011,17,DLA Acquisition Locations,null,DLA Contracting Services Office - Columbus,AWARD,0810
Department of the Army,b6795fde-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Guard Bureau,W912JA-17-R-0015,"117 MSG/MSC, AL ANG",SRCSGT,0802
Defense Logistics Agency,b635f9c6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A117G00174514,17,DLA Acquisition Locations,SPE4A517T9967,DLA Aviation - BSM,AWARD,0810
Department of Veterans Affairs,b6795fc3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Long Beach VANLO,VA26217Q1300,Department of Veterans Affairs,COMBINE  ,0717
Defense Information Systems Agency,b67960b6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,HC101317PB051,17,Procurement Directorate,HC101317QB004,DITCO-Scott,AWARD,0810
Department of the Navy,b6796088-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N0038314G002H7209,17,Naval Supply Systems Command,null,NAVSUP Weapon Systems Support Philadelphia PA,AWARD,0811
Department of Veterans Affairs,b635f93a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bronx VAMC (NAL),VA24217Q1056,Department of Veterans Affairs,COMBINE  ,0818
Department of the Air Force,b635f8b7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,AFICA,FA8052-17-P-0013,AFICA- CONUS,SNOTE,0815
Department of the Army,b635f904-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Army Contracting Command,W56JSR-17-R-0052,ACC - APG (W56JSR) Division E,SNOTE,0726
Department of the Navy,b6796036-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Sea Systems Command,N0016417Q0080,NSWC Crane Division,COMBINE  ,0615
Defense Logistics Agency,b635f9e1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SP470516D00060038,17,DLA Acquisition Locations,null,DLA Contracting Services Office,AWARD,0810
Department of the Navy,b6796081-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,N0038314G024F7036,17,Naval Supply Systems Command,null,NAVSUP Weapon Systems Support Philadelphia PA,AWARD,0811
Department of the Army,b635f936-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",W9124R17T0012,MICC - Yuma Proving Ground,SNOTE,0807
Department of the Interior,b6795f9a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,F17PX01660,17,Fish and Wildlife Service,F17PS00824,CGS-WO,AWARD,0815
Department of the Navy,b6796029-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Facilities Engineering Command,N4008517R0559,"NAVFAC Mid-Atlantic, ROICC Newport",COMBINE  ,0717
Department of Energy,b6795f94-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,DE-FE0030978,17,Federal Locations,null,All DOE Federal Contracting Offices,AWARD,0810
Department of the Army,b635f983-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Defense Logistics Agency Detachment,SPRDL1-17-Q-0507,DLA TACOM - Warren Acquisition Center,COMBINE  ,0609
Department of the Treasury,b6795fbe-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Internal Revenue Service (IRS),TIRNO17TRDODTAHA000,National Office Procurement (OS:PR:P),SNOTE,0727
Defense Logistics Agency,b6795f6e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE5E817TD565,DLA Troop Support - Construction  Equipment - BSM,COMBINE  ,0718
Defense Logistics Agency,b635f9d1-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A7-17-R-1150,DLA Aviation - BSM,PRESOL,0614
Department of the Interior,b635f94a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bureau of Land Management,L17PS00475,Colorado Region,PRESOL,0811
Department of the Army,b635f928-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",W91247-17-T-HPTLL,MICC - Fort Bragg,SRCSGT,0728
Department of the Navy,b6796011-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Air Systems Command,Aircraft_Armament_Equipment,NAVAIR HQ,SRCSGT,0726
Department of the Army,b635f92b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Army Contracting Command, MICC",W911SA-17-Q-3055,MICC - Fort McCoy (W911SA),PRESOL,0706
Department of Justice,b679609d-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Office of Justice Programs,null,OJP/Acquisition Management Division,FAIROPP,0726
Department of the Navy,b679601c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Naval Air Systems Command,N6893616T0342,Naval Air Warfare Center Weapons Division,PRESOL,0819
Defense Logistics Agency,b635f9cf-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A114G000724NH,17,DLA Acquisition Locations,SPE4A617TP185,DLA Aviation - BSM,AWARD,0810
Department of the Air Force,b635f98a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Direct Reporting Unit - Air Force District of Washington,FA286017R0024,11th Contracting Squadron,COMBINE  ,0731
Defense Logistics Agency,b6795f74-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE8EE17P0949,17,DLA Acquisition Locations,SPE8EE17T1815,DLA Troop Support - Construction  Equipment - BSM,AWARD,0810
Department of Veterans Affairs,b6795f88-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,VA263-17-P-1005,17,Fargo VAMROC,VA26317Q0810,Department of Veterans Affairs Medical and Regional Office Center,AWARD,0726
Department of Health and Human Services,b635f965-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Centers for Disease Control and Prevention,RFTOP-VSD-2017-10313,Procurement and Grants Office (Atlanta),FAIROPP,0726
Defense Logistics Agency,b635f9c0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A617PK191,17,DLA Acquisition Locations,SPE4A617TZ968,DLA Aviation - BSM,AWARD,0810
Department of Homeland Security,b67960f3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,United States Coast Guard (USCG),HSCG79-15-R-PC7019,"Commander,  USCG Telecommunication  Information Systems Command",JA,0705
Department of State,b679608b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Near Eastern Posts,S-LE200-17-R-0001,"U.S. Embassy Beirut, Lebanon",PRESOL,1201
Department of the Navy,b6796051-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM1-17Q-PH17,NAVSUP Weapon Systems Support Mechanicsburg PA,SRCSGT,0803
Defense Logistics Agency,b635f9d0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A6-17-R-0353,DLA Aviation - BSM,PRESOL,0222
Department of the Air Force,b635f8e7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Materiel Command,SASPO-Industry-Day_(Aug17),PK/PZ Tinker AFB,SNOTE,0719
Department of the Air Force,b679610c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,US Air Force Europe,FA5606-16-T-0028,52 CONS,PRESOL,0622
Defense Logistics Agency,b635f9b7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A117P1188,17,DLA Acquisition Locations,SPE4A117T1444,DLA Aviation - BSM,AWARD,0810
Defense Logistics Agency,b6795f65-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE8ED-XX-XXX-XXXE,DLA Troop Support - Construction  Equipment,SRCSGT,0727
Defense Logistics Agency,b6795f26-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPRBL1-17-Q-0031,DLA Land Aberdeen,COMBINE  ,0719
Department of the Army,b67960e6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Corps of Engineers,W912HZ17QDASB,"USACE ITL, GSL, EL, CHL, Vicksburg",COMBINE  ,0731
Department of Energy,b67960c3-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,SLAC National Accelerator Lab,278265,SLAC National Accelerator Lab,SRCSGT,0727
Department of the Air Force,b635f8f0-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Special Operations Command,FA4417-17-R-0013,1 SOCONS- Hurlburt,PRESOL,0614
Department of State,b67960c4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Southern Asian and Central Asian Posts,RFQ_PR6563111,"U.S. Embassy Islamabad, Pakistan",COMBINE  ,0726
Department of the Interior,b6796004-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,National Park Service,P17PS01565,NPS - All Offices,PRESOL,0711
Department of the Army,b67960d9-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Corps of Engineers,W912QR-71782465,"USACE District, Louisville",COMBINE  ,0703
Department of the Army,b635f90a-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,W91ZLK-17-P-0150,17,Army Contracting Command,null,ACC - APG (W91ZLK) TENANT CONTRACTING DIV,AWARD,0810
Defense Logistics Agency,b635f9b2-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517R1241,DLA Aviation - BSM,PRESOL,0726
Department of Veterans Affairs,b635f93b-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Bronx VAMC (NAL),VA24217N0773,Department of Veterans Affairs,SRCSGT,0618
National Aeronautics and Space Administration,b6795fd4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,NASA Shared Services Center,80NSSC17Q0233,Simplified Acquisitions,COMBINE  ,0807
Department of the Air Force,b635f8ea-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,16,Air Force Materiel Command,FA8117-16-R-0030,Tinker AFB - AFSC/PZIO,PRESOL,0725
Department of the Navy,b6796067-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117RHC00,NAVSUP Weapon Systems Support Mechanicsburg PA,SRCSGT,0802
Department of the Interior,b6795fbc-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,D17PC00175,17,Interior Business Center,null,AQD - Washington D.C.,AWARD,0810
Department of the Navy,b6796019-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Air Systems Command,N00421-17-Q-0320,Naval Air Warfare Center Aircraft Division Pax River,COMBINE  ,0803
Department of the Air Force,b635f8da-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Materiel Command,FA8601-17-R-0069,"AFLCMC/PK - WPAFB (includes  PZ, WL, WW, WI, WN, WK, LP, WF, WK)",SRCSGT,0731
Department of the Navy,b6796080-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,null,NAVSUP Weapon Systems Support Philadelphia PA,FSTD,0809
Department of the Navy,b635f972-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,"Commander in Chief, Atlantic Fleet",N3032117RC013V1,Naval Oceanographic Office (NAVOCEANO),SNOTE,0727
Department of Veterans Affairs,b679610e-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,VA Ann Arbor Health Care System,VA25017Q0794,Department of Veterans Affairs Ann Arbor Health Care System,PRESOL,0724
Department of the Air Force,b635f8d6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,FA8213-17-F-2350-P00002,17,Air Force Materiel Command,FA8213-13-R-3079,AFLCMC / AFSC / AFNWC - HILL AFB,AWARD,0810
Department of the Air Force,b635f8f6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Mobility Command,FA4427-17-Q-0107,60th CONS,COMBINE  ,0803
Department of the Navy,b679605c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Naval Supply Systems Command,SPRMM117QWM82,NAVSUP Weapon Systems Support Mechanicsburg PA,PRESOL,0710
Defense Logistics Agency,b635f99c-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE4A617PK151,17,DLA Acquisition Locations,SPE4A617TAE58,DLA Aviation - BSM,AWARD,0810
Department of the Army,b67960e4-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,U.S. Army Corps of Engineers,W912ES-17-T-0110,"USACE District, St.  Paul",PRESOL,0804
Department of State,b6796095-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Office of Acquisitions,SGE50017Q0073,"Regional Procurement Support Office Frankfurt, Germany",COMBINE  ,0719
National Aeronautics and Space Administration,b6795fd7-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,NASA Shared Services Center,80NSSC17Q0212,Simplified Acquisitions,COMBINE  ,0803
Defense Logistics Agency,b635f9c5-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,DLA Acquisition Locations,SPE4A517R1357,DLA Aviation - BSM,SRCSGT,0817
Department of Agriculture,b635f8fe-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,AG-6395-P-17-0288,17,Animal and Plant Health Inspection Service,ag-6395-s-17-0119,Administrative Services Division/Contracting,AWARD,0725
Defense Logistics Agency,b6795f37-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,SPE7L117P4209,17,DLA Acquisition Locations,SPE7L317TK064,DLA Land and Maritime - BSM,AWARD,0810
Department of the Air Force,b635f8e6-8a8f-11e7-89d1-1cc1de329608,ARCHIVE,,17,Air Force Materiel Command,SPRTA1-17-Q-0369,PK/PZ Tinker AFB,PRESOL,0406
